rating,max_rating,r1,r2,r3,r4,r5,no_of_problems,contest_avg,practice_avg
1082,1183,1045,1060,1085,1056,1069,119,872.6027397260274,1339.1304347826087
1204,1323,1207,1140,1114,1114,1245,572,928.9855072463768,1278.9264413518886
1479,1585,1494,1347,1265,1239,1315,535,1031.4960629921259,1097.153024911032
1223,1223,1150,1159,1079,1097,1098,301,872.5,998.4674329501916
1103,1103,1057,1010,988,1014,971,303,842.4242424242424,914.4444444444445
1176,1176,1100,1021,1029,896,931,166,850.0,910.1694915254237
1120,1211,979,1018,979,940,1001,525,884.0909090909091,1315.3846153846155
1239,1311,1254,1311,1262,1176,1180,409,909.8684210526316,1167.704280155642
1555,1927,1611,1450,1480,1495,1459,1198,1212.0525059665872,1818.0555555555557
1860,2233,1861,1936,1891,1972,1958,1086,1388.1889763779527,1391.5865384615386
948,948,876,834,711,815,825,118,811.5384615384615,851.0869565217391
1132,1170,1170,1133,1095,1069,1018,409,833.3333333333334,1076.3297872340424
1566,1566,1524,1358,1477,1482,1451,544,1008.0246913580247,1177.4869109947645
968,1045,942,864,977,1007,1008,194,848.5714285714286,1450.9433962264152
1104,1481,1059,916,1011,1138,1270,229,1008.5470085470085,1468.75
1141,1189,1134,1189,1149,1151,1086,463,861.4525139664804,943.3098591549295
1247,1247,1152,1074,1104,1010,913,97,931.578947368421,976.9230769230769
1098,1407,1069,1158,1265,1215,1154,142,913.3333333333334,1041.0714285714287
1704,1704,1597,1569,1638,1585,1643,206,1097.1830985915492,1802.962962962963
1313,1313,1232,1219,1187,1203,1235,145,1000.0,1366.3461538461538
1286,1774,1392,1430,1457,1545,1562,129,1055.2941176470588,1500.0
1219,1627,1347,1345,1374,1375,1380,369,1087.3239436619717,1533.920704845815
1445,1514,1365,1389,1432,1368,1514,84,964.0,1077.7777777777778
1081,1366,1118,1129,1064,1050,1067,75,848.1481481481482,1023.8095238095239
1249,1428,1296,1309,1228,1257,1143,929,975.2613240418118,957.7881619937694
975,975,895,904,915,892,909,307,818.421052631579,928.996282527881
1814,1856,1856,1853,1838,1784,1704,1508,1054.9019607843138,978.2975460122699
1657,1768,1751,1768,1754,1735,1703,173,1103.030303030303,1718.6915887850466
1062,1184,1137,1184,1114,1014,984,607,830.0,1022.62118491921
988,1084,907,1015,1006,939,1052,68,847.3684210526316,1236.734693877551
1199,1407,1172,1144,1074,1080,1141,160,938.0281690140845,1160.6741573033707
1730,1823,1632,1774,1751,1669,1746,53,1146.0,1300.0
1006,1039,1033,1039,1029,1000,910,113,805.8823529411765,838.5416666666666
1744,1744,1671,1661,1647,1544,1712,359,1078.9473684210527,1413.061224489796
1245,1376,1155,1207,1227,1230,1232,1310,930.8510638297872,1307.8125
3055,3055,2990,2979,2844,2635,2408,657,1731.3609467455622,2364.754098360656
2172,2506,2156,2263,2398,2448,2423,1051,1505.726872246696,1881.3106796116506
2059,2059,1979,2015,1942,1969,1995,99,1341.0958904109589,2269.230769230769
998,1054,1054,999,968,975,937,165,826.7326732673267,878.125
1814,1814,1774,1768,1705,1614,1638,79,1119.5652173913043,1312.121212121212
1198,1212,1073,1176,1194,1187,1212,360,908.8235294117648,1199.3150684931506
1119,1119,1071,1046,1035,1085,1097,439,848.2758620689655,1005.8536585365854
1805,1876,1824,1815,1824,1853,1876,276,1071.8232044198894,1494.7368421052631
1193,1373,1276,1193,1115,1233,1205,266,928.0,1174.537037037037
1215,1255,1197,1255,1254,1173,1117,217,865.7142857142857,993.9560439560439
1411,1411,1377,1308,1311,1259,1209,325,933.3333333333334,1137.857142857143
1819,2057,1782,1989,2057,1968,1940,452,1202.8248587570622,1428.7272727272727
1064,1064,989,896,924,980,983,36,841.6666666666666,1141.6666666666667
1051,1223,1073,1120,976,979,875,379,868.918918918919,1143.9344262295083
1800,1817,1815,1817,1813,1712,1683,853,1095.2,1396.0164835164835
1483,1645,1546,1593,1645,1533,1471,276,1042.603550295858,1407.4766355140187
2191,2233,2207,2148,2099,2023,2120,781,1292.4603174603174,1951.2287334593573
1049,1049,1022,1021,787,881,859,46,858.8235294117648,1272.4137931034484
1733,1733,1633,1562,1548,1475,1565,200,1032.9268292682927,1372.8813559322034
1297,1480,1400,1480,1465,1469,1342,153,986.25,1028.7671232876712
1048,1205,1063,1117,1123,1098,1152,222,859.5238095238095,1056.5217391304348
1079,1131,1131,1019,1009,1060,1113,94,846.4285714285714,884.8484848484849
1162,1205,1205,1186,1198,1095,1128,126,875.0,939.0909090909091
1545,1545,1499,1402,1365,1341,1283,675,939.2265193370166,1192.1052631578948
1232,1232,1155,1141,1139,1148,1092,475,856.8965517241379,1091.6067146282974
1062,1062,1003,887,937,928,951,225,833.3333333333334,913.0208333333334
1174,1222,1173,1222,1210,1190,1189,490,839.622641509434,934.324942791762
2256,2364,2192,2220,2364,2331,2331,356,1398.3050847457628,2096.969696969697
1268,1277,1188,1160,1176,1135,1244,113,894.1176470588235,977.2151898734177
1815,1901,1755,1837,1776,1868,1862,717,1100.0,1542.9844097995547
1299,1401,1210,1080,1066,1113,1124,183,996.0784313725491,1051.851851851852
1121,1539,1177,1186,1099,1065,1088,132,1026.7857142857142,1477.6315789473683
1419,1628,1475,1517,1540,1501,1531,1008,1001.4705882352941,1311.842105263158
1224,1224,1106,1137,1169,1103,1115,64,921.0526315789474,1073.076923076923
1914,2033,1891,1863,1866,1881,1914,343,1323.5294117647059,2006.5891472868218
